,mid,name,sex,level,sign,official,birthday,roomid,fans,guards,status,archiveView,liveCount,maxPopularity,participant,danmaku,income,goldUser,danmutop20
10946,2003170586,柒柒是蜘蛛,2,2,[个人势/未出道]每天都在觅食的蜘蛛?准备好成为我的食物了嘛,0,1月1日,25224537,232,3,0,1015,0,0,0,0,0,0,{}
10947,177116862,bili_514752874,2,3,,0,1月1日,25047537,1604,1,0,1778,0,0,0,0,0,0,{}
10948,661507523,奶嗷Neo,1,3,,0,7月13日,25082865,3,0,0,50,0,0,0,0,0,0,{}
10949,73630667,上钓鱼,2,5,赛博时代什么可信？,0,,24947882,102,0,1,432329,0,0,0,0,0,0,{}
10950,25406296,帝羽葵_Aoi9,0,5,"个人势20:00~23:00睡前会直播间每位道晚安Q群916737728直播通知 电子榨菜机器人 感谢葵羽帝们~
全平台同名 玩",0,1月19日,8519600,1415,11,0,43086,0,0,0,0,0,0,{}
10951,594361176,花游_Kayuu,2,3,你来啦！我一直在等你呐！粉丝群：325417471,0,,25085090,673,2,0,2448,0,0,0,0,0,0,{}
10952,7229660,大喵萌萌nya,2,6,曾用id：小喵萌萌nya、自我恋爱恶魔。是个笨蛋！可以随意解读！头像画师：ICE_氷,0,,2967286,27072,0,0,2354156,0,0,0,0,0,0,{}
10953,1709438947,从不缝合,2,4,缝缝子中考堂堂结束，正式成为现役jk！,0,1月1日,24593312,266,0,0,1115515,0,0,0,0,0,0,{}
10954,2081081837,熊易烦,1,3,"不开心，就找熊易烦！熊大人就是最帅的_嗯嗯！
不关注吗？真的不关注吗",0,7月6日,25190147,254,0,0,1238,0,0,0,0,0,0,{}
10955,85725947,冰凉是豳魉-iceto,1,5,个人势vup！一只因为红油脑花定居中国的梦魔少爷，要不要来我的冰箱玩？ qq群966364211,0,3月12日,24986581,3062,3,0,17345,0,0,0,0,0,0,{}
10956,905317,xkpdy,2,6,乐在其中,0,,32333,905,0,0,206560,0,0,0,0,0,0,{}
10957,508032319,YG_游祝-義,2,2,Y.Game，热门端游直况，#YG，#游祝...，热衷于代粉偿愿，一个'安静’的游戏工具人，：）,0,7月20日,23677978,330,0,1,2480,0,0,0,0,0,0,{}
10958,351009610,故辞先生,1,4,,0,5月31日,23901429,265,0,0,282,0,0,0,0,0,0,{}
10959,358988943,爱吃的小烁烁,1,5,这个世界上所有的美味终将成为我的腹中之物！,0,2月23日,21492619,278,0,1,9227,0,0,0,0,0,0,{}
10960,28202994,奥斯汀austinuki,2,3,人类你好，这里是奥斯汀austinuki 摆烂个人势蛇人 随缘播，不参与任何公会/社团 感谢!!!,0,,24827898,1899,1,0,3400,0,0,0,0,0,0,{}
10961,2482644,氿氿ayumiko,0,6,救命势vup！也是传播快乐的杂食视频up~(=^^=)（我喜欢一切陪伴，星光，和你）微博同名/录播组：@氿氿的神奇录播组,1,7月12日,943565,211266,133,0,35606105,86,5192435,48389,330671,110296300,3393,"{'可爱': 25125, '可以': 4468, '哈哈哈': 4056, '就是': 3645, '晚安': 3561, '不是': 2856, '这个': 2616, '急急': 1920, '什么': 1890, '没有': 1803, '一个': 1716, '哈哈哈哈': 1590, '确实': 1551, '晚上': 1489, '现在': 1468, '骑士': 1337, '罐头': 1296, '自己': 1245, '老板': 1244, '不会': 1169}"
10962,228466198,玛桃Myrtle,0,6,关注玛桃，顿顿吃饱。粉丝群：618719526,0,9月25日,6293675,10403,3,0,241246,0,0,0,0,0,0,{}
10963,2072069557,月乃一花_Official,0,2,,0,2月26日,24756718,2871,0,0,24742,0,0,0,0,0,0,{}
10964,2114332408,佐藤白SatoWhite,2,4,外星虚拟打工人 很高兴认识你 地球人~所属@黑星观测所_Official（不是厕所）群599303097  ,0,7月26日,24024108,10992,14,0,296893,0,0,0,0,0,0,{}
10965,3340395,右左枪枪,2,6,来自异世界的无性别小孩。除了唱歌不夹子音。日语JLPT n1 /JTEST A级,0,8月8日,7971395,98,1,0,515,0,0,0,0,0,0,{}
10966,39402415,俞年年Rich,1,4,这里是CMC人工养殖的宇宙无敌超级暴龙花蝴蝶-俞年年！,0,11月7日,25111507,6193,17,0,101968,0,0,0,0,0,0,{}
10967,693212688,会继续相信光哦,0,3,江湖再见！,0,7月3日,24622634,7725,1,0,8938,0,0,0,0,0,0,{}
10968,295993255,_凛ちゃん_,2,3,很菜，不会整活，不太会聊天，争取进步。,0,,25199663,812,1,0,4187,0,0,0,0,0,0,{}
10969,85372489,神乃音音,2,5,一条开心快乐小锦鲤，嘿嘿~！,0,8月12日,3765028,14582,4,0,157064,0,0,0,0,0,0,{}
10970,406362409,絮宝Shelby,2,4,直播通知群107013795 直播时间21:00,0,10月22日,25152151,4644,21,0,1753,0,0,0,0,0,0,{}
10971,747443,白羽镜Kagami,1,4,喜欢偷懒的不正经魔导士。录播：@玄凫归塘,0,10月19日,619964,1993,3,0,9402,0,0,0,0,0,0,{}
10972,10847989,萤笼Official,0,6,混沌势｜每晚九点直播 周一不播 早上随机开播｜禁言通知群：431440105,0,3月14日,2067606,17416,10,0,431804,0,0,0,0,0,0,{}
10973,315424765,Emily艾米莉_Caress,0,5,"新v试播中??|??'-'??)????
16：00--18:  00
",0,5月9日,13081755,478,0,0,138,0,0,0,0,0,0,{}
10974,30308359,镜子_かがみ,2,6,随缘转发一些有趣的灵魂??dps企划,0,2月1日,7191173,159,0,0,2135,0,0,0,0,0,0,{}
10975,49995659,-蓝佳-,0,5,Blue is my name.,0,4月19日,2401764,169,1,1,8,0,0,0,0,0,0,{}
10976,351995950,哔芙颂,2,4,"“听你那么说”
“你很勇哦”
“开玩笑”  “
我超勇的好不好”
“来让我看看”
“不要啦”",0,,25204244,335,0,0,1501,0,0,0,0,0,0,{}
10977,2136469937,默默真的很温柔,2,3,543960135,0,5月14日,23347443,393,5,0,3289,0,0,0,0,0,0,{}
10978,9839939,鱼小曦o00o,2,5,个人势虚拟主播，加班区UP主，二次元,0,,22720310,5225,0,0,1138897,0,0,0,0,0,0,{}
10979,18850121,Caro-露露,2,6,我、转生成为个人势Vup了！本体是抹香鲸，愿望是和相遇的大家做朋友，虽然不太适应人类的身体…但一定没问题对吧！~(??????`)?? ,0,,348095,930,2,0,7194,0,0,0,0,0,0,{}
10980,67095759,我是皮皮猫啊,2,4,ヾ(≧▽≦*)o爱你们，新衣在修改了，3D模型法院已立案,0,10月25日,2682755,13546,9,0,378125,0,0,0,0,0,0,{}
10981,54349913,坑默默_Claw,2,5,One last kiss.,0,5月26日,21485934,1881,0,0,287101,0,0,0,0,0,0,{}
10982,4305244,伊灵Elaine,2,5,这个账号暂时停播当小号了奥,0,,402142,2098,2,0,5340,0,0,0,0,0,0,{}
10983,409959133,东里书文,2,5,呼噜噜，睡觉觉zzz,0,3月18日,22343843,3320,15,0,52027,0,0,0,0,0,0,{}
10984,7022574,洛子狂想曲,2,6,脑袋空空画手曲师系虚拟主播,0,,787948,446,0,0,55658,0,0,0,0,0,0,{}
10985,85587827,堂百如雪,2,4,"一直在等你
",0,10月29日,10885227,466,0,0,441,0,0,0,0,0,0,{}
10986,282494073,秋葵阿_,0,5,,0,6月28日,24766474,841,0,0,0,0,0,0,0,0,0,{}
10987,31655012,小絧さま,1,6,一只爱打游戏的吸血鬼，麻麻是@最poi的Nia，名字是姐姐@纱音_Syanon取的，群：961333503,0,5月13日,893921,612,1,0,26424,0,0,0,0,0,0,{}
